"ANO","NIVEL","CODMUNRES","TO","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT"
2015,"MUNICIPIO","420515",14,0,0,14,0,4,5,3,4,10,0,0,0,0,0,0
2015,"MUNICIPIO","420517",23,0,4,19,1,2,8,2,16,7,0,0,0,0,0,0
2015,"MUNICIPIO","420519",17,0,0,17,0,5,7,1,10,7,0,0,0,0,0,0
2015,"MUNICIPIO","420520",22,0,1,21,1,5,4,1,13,9,0,0,0,0,0,2
2015,"MUNICIPIO","420530",54,0,7,47,4,11,14,5,28,26,0,0,0,0,0,0
2015,"MUNICIPIO","420535",12,0,2,10,1,1,4,2,8,4,0,0,0,0,0,1
2015,"MUNICIPIO","420540",2294,0,222,2072,105,645,671,255,1226,1068,5,0,4,1,3,38
2015,"MUNICIPIO","420543",13,0,4,9,0,3,3,0,5,8,0,0,0,0,0,0
2015,"MUNICIPIO","420545",103,0,16,87,2,22,30,14,58,45,0,0,0,0,0,3
2015,"MUNICIPIO","420550",175,0,14,161,8,42,36,21,102,72,0,0,0,0,0,0
2015,"MUNICIPIO","420555",17,0,1,16,0,2,4,0,9,8,0,0,0,0,0,0
2015,"MUNICIPIO","420560",23,0,2,21,1,5,5,4,14,9,0,0,0,0,0,0
2015,"MUNICIPIO","420570",130,0,10,120,6,35,44,17,77,53,0,0,0,0,0,1
2015,"MUNICIPIO","420580",72,0,15,57,4,9,17,13,49,23,0,0,0,0,0,0
2015,"MUNICIPIO","420590",297,0,31,266,7,57,65,53,160,137,1,0,1,0,1,13
2015,"MUNICIPIO","420600",69,0,6,63,1,14,29,11,35,34,0,0,0,0,0,1
2015,"MUNICIPIO","420610",29,0,3,26,0,10,8,1,14,15,0,0,0,0,0,0
2015,"MUNICIPIO","420620",85,0,11,74,3,21,23,8,46,39,0,0,0,0,0,2
2015,"MUNICIPIO","420630",66,0,10,56,3,10,18,4,36,30,0,0,0,0,0,5
2015,"MUNICIPIO","420640",74,0,9,65,2,20,20,4,31,43,0,0,0,0,0,2
2015,"MUNICIPIO","420650",169,0,30,139,6,39,36,19,100,69,0,0,0,0,0,4
2015,"MUNICIPIO","420660",40,0,4,36,1,9,15,2,25,15,0,0,0,0,0,0
2015,"MUNICIPIO","420665",29,0,6,23,0,6,5,3,17,12,0,0,0,0,0,2
2015,"MUNICIPIO","420670",113,0,16,97,8,23,27,12,70,43,2,0,0,0,0,3
2015,"MUNICIPIO","420675",10,0,0,10,0,3,2,1,8,2,0,0,0,0,0,0
2015,"MUNICIPIO","420680",19,0,0,19,0,5,6,2,12,7,0,0,0,0,0,1
2015,"MUNICIPIO","420690",136,0,16,120,10,26,53,10,89,47,0,0,0,0,0,2
2015,"MUNICIPIO","420700",245,0,28,217,8,60,88,15,148,97,1,0,0,0,0,8
2015,"MUNICIPIO","420710",71,0,9,62,1,22,7,11,36,35,0,0,0,0,0,3
2015,"MUNICIPIO","420720",105,0,4,101,4,20,26,18,58,47,0,0,0,0,0,1
2015,"MUNICIPIO","420730",278,0,20,258,15,51,88,45,154,124,0,0,0,0,0,7
2015,"MUNICIPIO","420740",45,0,6,39,1,11,11,8,24,21,0,0,0,0,0,0
2015,"MUNICIPIO","420750",311,0,33,278,9,59,98,60,188,123,0,0,0,0,0,9
