"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"MUNICIPIO","4218202",0.784,0.784,NA,NA
2015,"MUNICIPIO","4218251",0.659,0.659,NA,NA
2015,"MUNICIPIO","4218301",0.706,0.706,NA,NA
2015,"MUNICIPIO","4218350",0.774,0.774,NA,NA
2015,"MUNICIPIO","4218400",0.729,0.729,NA,NA
2015,"MUNICIPIO","4218509",0.795,0.795,NA,NA
2015,"MUNICIPIO","4218608",0.775,0.775,NA,NA
2015,"MUNICIPIO","4218707",0.796,0.796,NA,NA
2015,"MUNICIPIO","4218756",0.752,0.752,NA,NA
2015,"MUNICIPIO","4218806",0.74,0.74,NA,NA
2015,"MUNICIPIO","4218855",0.705,0.705,NA,NA
2015,"MUNICIPIO","4218905",0.694,0.694,NA,NA
2015,"MUNICIPIO","4218954",0.699,0.699,NA,NA
2015,"MUNICIPIO","4219002",0.772,0.772,NA,NA
2015,"MUNICIPIO","4219101",0.686,0.686,NA,NA
2015,"MUNICIPIO","4219150",0.629,0.629,NA,NA
2015,"MUNICIPIO","4219176",0.718,0.718,NA,NA
2015,"MUNICIPIO","4219200",0.7,0.7,NA,NA
2015,"MUNICIPIO","4219309",0.764,0.764,NA,NA
2015,"MUNICIPIO","4219358",0.673,0.673,NA,NA
2015,"MUNICIPIO","4219408",0.71,0.71,NA,NA
2015,"MUNICIPIO","4219507",0.775,0.775,NA,NA
2015,"MUNICIPIO","4219606",0.749,0.749,NA,NA
2015,"MUNICIPIO","4219705",0.752,0.752,NA,NA
2015,"MUNICIPIO","4219853",0.761,0.761,NA,NA
